ENDW_COMMi,PROD_COMMj,Value
labor,svces,1.15563973877579
capital,svces,0.439409303013235
natlres,svces,0.793690169230104
land,svces,0.728152926079929
labor,food,1.57571959728375
capital,food,1.78406213084236
natlres,food,0.758880779147148
land,food,0.731120807584375
labor,crops,1.51269859541208
capital,crops,0.256071821786463
natlres,crops,1.00630461145192
land,crops,0.987354542594403
labor,mnfcs,1.83104972168803
capital,mnfcs,1.82294373726472
natlres,mnfcs,0.620014383923262
land,mnfcs,0.709709908347577
labor,livestock,1.68091513868421
capital,livestock,0.08283785963431
natlres,livestock,1.52239107852802
land,livestock,0.37062727753073
labor,frs,1.68442826718092
capital,frs,0.0544415633194149
natlres,frs,1.14127738773823
land,frs,1.55341900698841
labor,zcgds,1.79112255666405
capital,zcgds,0.405985337682068
natlres,zcgds,0.823697012849152
land,zcgds,0.305824970826507
